"filename", "language", "JSON", "HTML", "TypeScript", "TOML", "Markdown", "JSON with Comments", "YAML", "Rust", "JavaScript", "PowerShell", "vue", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\steve\OneDrive\Desktop\Nova_A\nova_core\Cargo.toml", "TOML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\steve\OneDrive\Desktop\Nova_A\nova_core\LICENSE.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\steve\OneDrive\Desktop\Nova_A\nova_core\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 2, 5
"c:\Users\steve\OneDrive\Desktop\Nova_A\package.json", "JSON", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"c:\Users\steve\OneDrive\Desktop\Nova_A\player.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\steve\OneDrive\Desktop\Nova_A\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 878, 0, 0, 0, 0, 0, 0, 0, 233, 1111
"c:\Users\steve\OneDrive\Desktop\Nova_A\release-audits\v2.4.0-edit-ledger.md", "Markdown", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 66
"c:\Users\steve\OneDrive\Desktop\Nova_A\release-audits\v2.6.0-edit-ledger.md", "Markdown", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 91
"c:\Users\steve\OneDrive\Desktop\Nova_A\release-audits\v2.6.0-release-notes.md", "Markdown", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 49
"c:\Users\steve\OneDrive\Desktop\Nova_A\release-audits\v2.7.0-edit-ledger.md", "Markdown", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 64
"c:\Users\steve\OneDrive\Desktop\Nova_A\release-audits\v2.7.0-release-notes.md", "Markdown", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 78
"c:\Users\steve\OneDrive\Desktop\Nova_A\release-audits\v2.8.0-edit-ledger.md", "Markdown", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 82
"c:\Users\steve\OneDrive\Desktop\Nova_A\release-audits\v2.8.0-release-notes.md", "Markdown", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 67
"c:\Users\steve\OneDrive\Desktop\Nova_A\release-audits\v2.9.0-edit-ledger.md", "Markdown", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 74
"c:\Users\steve\OneDrive\Desktop\Nova_A\release-audits\v2.9.0-release-notes.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 33
"c:\Users\steve\OneDrive\Desktop\Nova_A\releases\v2.6.0\LICENSE.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\steve\OneDrive\Desktop\Nova_A\releases\v2.6.0\RELEASE_NOTES.md", "Markdown", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 49
"c:\Users\steve\OneDrive\Desktop\Nova_A\releases\v2.7.0\LICENSE.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\steve\OneDrive\Desktop\Nova_A\releases\v2.7.0\RELEASE_NOTES.md", "Markdown", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 78
"c:\Users\steve\OneDrive\Desktop\Nova_A\releases\v2.8.0\LICENSE.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\steve\OneDrive\Desktop\Nova_A\releases\v2.8.0\RELEASE_NOTES.md", "Markdown", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 67
"c:\Users\steve\OneDrive\Desktop\Nova_A\rust-toolchain.toml", "TOML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\steve\OneDrive\Desktop\Nova_A\scripts\audit-animation.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\steve\OneDrive\Desktop\Nova_A\scripts\audit-editor-shell.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 6, 48
"c:\Users\steve\OneDrive\Desktop\Nova_A\scripts\audit-manual.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\steve\OneDrive\Desktop\Nova_A\scripts\audit-rendering.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"c:\Users\steve\OneDrive\Desktop\Nova_A\scripts\audit-script-studio.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\steve\OneDrive\Desktop\Nova_A\scripts\audit-v2.5.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 8, 44
"c:\Users\steve\OneDrive\Desktop\Nova_A\scripts\audit-v2.6.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"c:\Users\steve\OneDrive\Desktop\Nova_A\scripts\audit-v2.7.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 11, 44
"c:\Users\steve\OneDrive\Desktop\Nova_A\scripts\audit-v2.8.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 12, 80
"c:\Users\steve\OneDrive\Desktop\Nova_A\scripts\audit-v2.9.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 11, 52
"c:\Users\steve\OneDrive\Desktop\Nova_A\scripts\nova-export.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 8, 122
"c:\Users\steve\OneDrive\Desktop\Nova_A\scripts\package-release.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 9, 68
"c:\Users\steve\OneDrive\Desktop\Nova_A\src-tauri\Cargo.lock", "TOML", 0, 0, 0, 4878, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 512, 5392
"c:\Users\steve\OneDrive\Desktop\Nova_A\src-tauri\Cargo.toml", "TOML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 29
